free_mem_total free_swap_total virt resources cpu_percentage time
109,3 1500,9 3355424 3,2g 100,0 3:03.61
103,6 1473,5 3380900 3,2g 100,0 3:05.25
114,5 1405,8 3414164 3,2g 100,0 3:07.38
105,7 1374,1 3473960 3,2g 100,0 3:11.52
112,6 1347,8 3503264 3,2g 100,0 3:13.48
114,6 1312,9 3532436 3,2g 100,0 3:15.56
107,8 1297,8 3556856 3,2g 100,0 3:17.20
112,9 1249,4 3580484 3,2g 100,0 3:18.83
108,8 1235,3 3629192 3,2g 93,3 3:22.11
114,1 1204,7 3654404 3,2g 100,0 3:23.77
109,6 1145,0 3694400 3,3g 100,0 3:26.35
114,1 1083,5 3762248 3,3g 100,0 3:30.73
116,3 1065,9 3794324 3,3g 100,0 3:32.99
107,6 1025,0 3832208 3,3g 100,0 3:35.50
106,7 1009,7 3861776 3,3g 100,0 3:37.53
105,0 960,5 3894248 3,3g 100,0 3:39.94
109,5 929,4 3949556 3,3g 93,3 3:44.04
101,7 890,2 3985064 3,3g 100,0 3:46.50
112,6 849,3 4022684 3,3g 100,0 3:49.39
111,1 801,4 4049612 3,3g 93,8 3:51.37
107,5 665,1 4116404 3,3g 100,0 3:56.09
104,0 648,5 4234412 3,3g 100,0 4:04.27
113,9 605,8 4257512 3,3g 100,0 4:05.89
105,1 592,5 4293548 3,3g 100,0 4:08.35
112,3 567,7 4315988 3,3g 93,8 4:09.90
113,1 526,3 4355852 3,3g 95,8 4:12.66
116,8 485,4 4390172 3,3g 100,0 4:15.12
107,6 442,7 4425944 3,3g 100,0 4:18.09
104,6 403,8 4456040 3,3g 100,0 4:20.32
111,6 373,2 4496432 3,3g 94,7 4:23.27
105,1 353,9 4527980 3,3g 100,0 4:25.55
110,9 332,5 4554116 3,3g 100,0 4:27.30
109,2 305,9 4582232 3,3g 100,0 4:29.17
102,2 278,1 4610216 3,3g 100,0 4:30.93
111,5 263,5 4636616 3,3g 100,0 4:32.64
106,2 237,9 4667636 3,3g 100,0 4:34.81
113,1 105,4 4714364 3,3g 98,3 4:38.16
98,0 21,1 4843988 3,3g 100,0 4:48.07
